timestamp,date,open,high,low,close,volume
1710010800,2024-03-09 19:00:00,3892.87,3895.67,3880.17,3884.64,29746.526
1710014400,2024-03-09 20:00:00,3884.64,3904.49,3884.64,3903.90,28726.610
1710018000,2024-03-09 21:00:00,3903.91,3911.43,3894.83,3907.93,28078.910
1710021600,2024-03-09 22:00:00,3907.93,3915.93,3899.16,3903.41,19519.432
1710025200,2024-03-09 23:00:00,3903.42,3916.24,3900.98,3908.15,33545.030
1710028800,2024-03-10 00:00:00,3908.16,3921.59,3902.29,3912.44,51778.042
1710032400,2024-03-10 01:00:00,3912.45,3945.62,3910.41,3934.60,120638.452
1710036000,2024-03-10 02:00:00,3934.59,3942.92,3924.30,3925.00,42244.914
1710039600,2024-03-10 03:00:00,3925.00,3941.60,3915.07,3938.31,41450.851
1710043200,2024-03-10 04:00:00,3938.32,3956.48,3935.02,3945.00,75892.276
1710046800,2024-03-10 05:00:00,3945.02,3954.26,3938.30,3942.49,34898.777
1710050400,2024-03-10 06:00:00,3942.49,3952.50,3932.61,3946.89,35125.617
1710054000,2024-03-10 07:00:00,3946.89,3953.65,3941.29,3948.47,27727.225
1710057600,2024-03-10 08:00:00,3948.48,3970.84,3943.57,3963.93,53665.449
1710061200,2024-03-10 09:00:00,3963.92,3964.44,3923.35,3950.80,126321.958
1710064800,2024-03-10 10:00:00,3950.82,3961.25,3935.55,3942.35,67211.477
1710068400,2024-03-10 11:00:00,3942.35,3947.81,3930.01,3936.92,51458.084
1710072000,2024-03-10 12:00:00,3936.93,3951.63,3914.53,3930.63,82780.444
1710075600,2024-03-10 13:00:00,3930.62,3934.92,3888.00,3901.72,102746.747
1710079200,2024-03-10 14:00:00,3901.73,3914.48,3860.00,3899.90,191531.674
1710082800,2024-03-10 15:00:00,3899.90,3906.34,3876.00,3886.00,88478.053
1710086400,2024-03-10 16:00:00,3886.00,3929.93,3884.44,3908.31,99794.924
1710090000,2024-03-10 17:00:00,3908.31,3919.97,3902.33,3915.64,40054.558
1710093600,2024-03-10 18:00:00,3915.63,3921.94,3896.14,3897.32,36333.892
1710097200,2024-03-10 19:00:00,3897.32,3905.79,3891.42,3901.17,29277.753
1710100800,2024-03-10 20:00:00,3901.17,3907.60,3895.13,3903.72,26788.624
1710104400,2024-03-10 21:00:00,3903.73,3906.54,3876.18,3883.85,38619.620
1710108000,2024-03-10 22:00:00,3883.84,3885.10,3791.19,3825.91,240825.038
1710111600,2024-03-10 23:00:00,3825.90,3886.79,3822.15,3881.22,112333.355
1710115200,2024-03-11 00:00:00,3881.32,3891.99,3719.00,3831.00,302947.479
1710118800,2024-03-11 01:00:00,3831.00,3843.77,3780.53,3821.74,229772.990
1710122400,2024-03-11 02:00:00,3821.74,3847.16,3816.89,3838.63,84951.838
1710126000,2024-03-11 03:00:00,3838.63,3871.70,3836.28,3870.31,87216.618
1710129600,2024-03-11 04:00:00,3870.32,3882.95,3855.10,3860.11,60712.251
1710133200,2024-03-11 05:00:00,3860.10,3883.00,3845.09,3851.01,79032.440
